,y
138691,safe
103376,safe
176007,safe
157585,safe
169310,safe
99464,close
93549,close
248220,very_close
182271,safe
52931,close
93669,close
104369,safe
7834,close
141468,safe
111864,safe
122165,safe
233228,very_close
125324,safe
217035,very_close
40841,close
41788,close
206756,very_close
205285,very_close
105492,safe
10373,close
90808,close
77683,close
240364,very_close
142570,safe
289546,very_close
279795,very_close
12262,close
259653,very_close
252431,very_close
65247,close
205886,very_close
265962,very_close
200013,very_close
161412,safe
3778,close
295772,very_close
18244,close
142898,safe
247414,very_close
239685,very_close
270601,very_close
221874,very_close
102453,safe
240542,very_close
127387,safe
121464,safe
6547,close
238649,very_close
137149,safe
188695,safe
267155,very_close
135287,safe
72501,close
219132,very_close
84623,close
33972,close
299033,very_close
70376,close
299046,very_close
296186,very_close
217757,very_close
258992,very_close
293471,very_close
221424,very_close
152864,safe
6488,close
262700,very_close
232253,very_close
95203,close
199267,safe
163186,safe
207978,very_close
94796,close
252554,very_close
102033,safe
57661,close
93737,close
122160,safe
886,close
38902,close
269249,very_close
69882,close
150907,safe
9738,close
265100,very_close
35148,close
288400,very_close
170526,safe
264467,very_close
29458,close
249180,very_close
186075,safe
12524,close
181425,safe
201454,very_close
124048,safe
85913,close
62573,close
14363,close
39595,close
276645,very_close
258623,very_close
22998,close
132751,safe
70261,close
6543,close
93984,close
54164,close
262932,very_close
55601,close
27781,close
76565,close
64272,close
137771,safe
214995,very_close
61454,close
221363,very_close
45690,close
294812,very_close
223743,very_close
72223,close
86393,close
278535,very_close
176097,safe
13101,close
133233,safe
130925,safe
94106,close
295841,very_close
212948,very_close
271486,very_close
92540,close
71111,close
220427,very_close
262761,very_close
102827,safe
23517,close
140053,safe
123826,safe
200326,very_close
46755,close
60075,close
107476,safe
275293,very_close
7980,close
182947,safe
233328,very_close
204897,very_close
269843,very_close
157601,safe
221221,very_close
48362,close
275322,very_close
296598,very_close
148933,safe
266109,very_close
16871,close
140763,safe
227224,very_close
217454,very_close
256181,very_close
8452,close
105061,safe
61502,close
269063,very_close
95525,close
75045,close
14669,close
108100,safe
199096,safe
92423,close
81801,close
219969,very_close
39272,close
116439,safe
72653,close
236307,very_close
100517,safe
125446,safe
61090,close
230904,very_close
187767,safe
72410,close
72821,close
42447,close
36072,close
296087,very_close
56510,close
45069,close
5660,close
65980,close
61801,close
156645,safe
118947,safe
230989,very_close
286280,very_close
18490,close
210736,very_close
190250,safe
155652,safe
31282,close
168305,safe
114808,safe
291009,very_close
21174,close
20018,close
244734,very_close
62724,close
203931,very_close
135453,safe
25890,close
277175,very_close
32630,close
249844,very_close
31442,close
285260,very_close
128205,safe
282114,very_close
287663,very_close
41636,close
197340,safe
83932,close
200853,very_close
133897,safe
100983,safe
298308,very_close
134877,safe
78795,close
190574,safe
102455,safe
18137,close
114202,safe
149699,safe
185142,safe
236502,very_close
117769,safe
285606,very_close
25684,close
10566,close
119987,safe
293536,very_close
240057,very_close
35924,close
169584,safe
104050,safe
285466,very_close
52053,close
50712,close
13218,close
25054,close
63715,close
251020,very_close
209720,very_close
145822,safe
233370,very_close
235123,very_close
15544,close
213082,very_close
131595,safe
44268,close
203056,very_close
111316,safe
28115,close
236336,very_close
23493,close
268176,very_close
141543,safe
235953,very_close
264927,very_close
222181,very_close
249961,very_close
130919,safe
23205,close
283930,very_close
123437,safe
197952,safe
291750,very_close
170540,safe
174408,safe
135,close
279121,very_close
6419,close
158162,safe
34900,close
269925,very_close
292065,very_close
58782,close
84841,close
205775,very_close
119268,safe
273903,very_close
96470,close
224639,very_close
116271,safe
268311,very_close
42761,close
128105,safe
293617,very_close
152589,safe
5977,close
154321,safe
93311,close
282914,very_close
149263,safe
124486,safe
136258,safe
216421,very_close
223609,very_close
136784,safe
261850,very_close
2980,close
257608,very_close
55763,close
149016,safe
200484,very_close
234129,very_close
108548,safe
62786,close
19214,close
42030,close
97634,close
220866,very_close
69265,close
23352,close
51766,close
220922,very_close
283096,very_close
67826,close
143182,safe
42310,close
119671,safe
203309,very_close
7484,close
245857,very_close
281355,very_close
206862,very_close
225525,very_close
123521,safe
222356,very_close
78297,close
90370,close
233140,very_close
1004,close
290953,very_close
180073,safe
46868,close
156759,safe
115885,safe
56616,close
235593,very_close
135502,safe
132479,safe
193297,safe
127298,safe
56829,close
22242,close
193911,safe
181378,safe
287454,very_close
254108,very_close
151861,safe
84828,close
141671,safe
151004,safe
123360,safe
198720,safe
120659,safe
126962,safe
156515,safe
50146,close
2724,close
8226,close
158051,safe
24004,close
280806,very_close
115101,safe
103325,safe
217188,very_close
182628,safe
34881,close
266637,very_close
112697,safe
30939,close
114183,safe
35900,close
103158,safe
186717,safe
240639,very_close
64217,close
3916,close
71411,close
8183,close
203997,very_close
61990,close
286151,very_close
130321,safe
20829,close
85351,close
273493,very_close
64473,close
284151,very_close
3789,close
127557,safe
263311,very_close
243985,very_close
286259,very_close
261885,very_close
189844,safe
256299,very_close
140856,safe
284681,very_close
1590,close
125440,safe
82682,close
180041,safe
249157,very_close
280144,very_close
56101,close
36302,close
174942,safe
84150,close
113383,safe
221015,very_close
54373,close
282111,very_close
94438,close
67832,close
198229,safe
44532,close
16457,close
153751,safe
291579,very_close
166327,safe
90717,close
110245,safe
10744,close
6379,close
179214,safe
262213,very_close
218720,very_close
8620,close
256837,very_close
206853,very_close
66389,close
283996,very_close
226964,very_close
52933,close
286009,very_close
265121,very_close
53301,close
245300,very_close
200030,very_close
46742,close
142999,safe
143201,safe
101730,safe
70557,close
295508,very_close
102298,safe
12436,close
208842,very_close
80503,close
203687,very_close
55007,close
159034,safe
34887,close
22541,close
15719,close
184216,safe
196148,safe
81671,close
9093,close
56672,close
34982,close
16957,close
136875,safe
251791,very_close
169303,safe
267957,very_close
205672,very_close
84343,close
36291,close
109605,safe
95728,close
29706,close
23077,close
121483,safe
216720,very_close
118025,safe
292313,very_close
2132,close
187525,safe
240599,very_close
83954,close
211801,very_close
190760,safe
11059,close
23297,close
136205,safe
197224,safe
26275,close
278527,very_close
68612,close
250726,very_close
231299,very_close
233043,very_close
16316,close
190270,safe
42086,close
253889,very_close
99234,close
176671,safe
115768,safe
226459,very_close
120540,safe
113023,safe
144764,safe
57274,close
123822,safe
42868,close
128544,safe
45794,close
186121,safe
199766,safe
215727,very_close
253595,very_close
47992,close
11501,close
163833,safe
51102,close
230270,very_close
153428,safe
117871,safe
232356,very_close
35558,close
255291,very_close
213364,very_close
188656,safe
74281,close
142727,safe
31855,close
217911,very_close
208505,very_close
67317,close
106448,safe
234973,very_close
39797,close
249034,very_close
232784,very_close
217826,very_close
177382,safe
71342,close
182418,safe
227730,very_close
147171,safe
51430,close
3395,close
96161,close
28509,close
192237,safe
152169,safe
57950,close
266585,very_close
23852,close
147089,safe
109472,safe
105791,safe
44357,close
202753,very_close
105131,safe
233173,very_close
16788,close
129081,safe
148459,safe
282444,very_close
7441,close
271202,very_close
64630,close
52341,close
26257,close
59706,close
18159,close
1445,close
265436,very_close
299423,very_close
208254,very_close
180644,safe
75011,close
235084,very_close
262099,very_close
267124,very_close
294597,very_close
233169,very_close
131722,safe
152313,safe
73256,close
216133,very_close
231283,very_close
287237,very_close
137761,safe
95535,close
148490,safe
132225,safe
290791,very_close
8501,close
181067,safe
256601,very_close
53786,close
94791,close
173049,safe
58403,close
54347,close
71775,close
181758,safe
99938,close
118426,safe
188698,safe
212875,very_close
251899,very_close
238120,very_close
235413,very_close
5708,close
195934,safe
182923,safe
149039,safe
222852,very_close
60330,close
9892,close
222936,very_close
250882,very_close
6484,close
145654,safe
51659,close
207077,very_close
131575,safe
137156,safe
120023,safe
270975,very_close
237866,very_close
97734,close
142657,safe
255532,very_close
111481,safe
113238,safe
278531,very_close
286768,very_close
58957,close
81472,close
255357,very_close
251855,very_close
252749,very_close
200798,very_close
109824,safe
7725,close
116246,safe
87938,close
185560,safe
156318,safe
4016,close
223037,very_close
251551,very_close
256461,very_close
281900,very_close
11385,close
165517,safe
102007,safe
133668,safe
73834,close
51773,close
195765,safe
72476,close
212897,very_close
242265,very_close
81239,close
133740,safe
138836,safe
34367,close
21612,close
3633,close
160906,safe
112540,safe
129757,safe
155136,safe
110709,safe
217703,very_close
276353,very_close
275301,very_close
236361,very_close
263710,very_close
272649,very_close
43920,close
255072,very_close
90287,close
265649,very_close
284975,very_close
103669,safe
144677,safe
125843,safe
143441,safe
228680,very_close
249055,very_close
255192,very_close
122146,safe
88086,close
274671,very_close
63421,close
85905,close
218289,very_close
28427,close
274548,very_close
199168,safe
66947,close
242900,very_close
44873,close
83050,close
186148,safe
31137,close
36617,close
251853,very_close
151079,safe
22295,close
261319,very_close
248432,very_close
7823,close
204239,very_close
214385,very_close
224083,very_close
179133,safe
87381,close
16844,close
248389,very_close
265374,very_close
270408,very_close
275156,very_close
88456,close
278131,very_close
212600,very_close
258519,very_close
169501,safe
113499,safe
207119,very_close
9120,close
43929,close
174796,safe
103396,safe
57469,close
270627,very_close
203911,very_close
225345,very_close
139892,safe
176430,safe
268804,very_close
280799,very_close
249845,very_close
30113,close
98871,close
70003,close
238669,very_close
78664,close
199587,safe
46789,close
256329,very_close
75987,close
194730,safe
173384,safe
290117,very_close
17936,close
126060,safe
114993,safe
227076,very_close
162400,safe
170273,safe
204747,very_close
181971,safe
153709,safe
195378,safe
273707,very_close
99756,close
248644,very_close
213723,very_close
82958,close
23288,close
72141,close
167274,safe
153669,safe
210884,very_close
299318,very_close
253690,very_close
197885,safe
249539,very_close
45548,close
31073,close
46482,close
159004,safe
124970,safe
193957,safe
17743,close
70026,close
294743,very_close
33097,close
277029,very_close
61995,close
167787,safe
98928,close
146181,safe
179262,safe
231378,very_close
270571,very_close
214515,very_close
69740,close
256196,very_close
42566,close
168815,safe
210380,very_close
236808,very_close
103464,safe
6,close
247926,very_close
103372,safe
163589,safe
222330,very_close
29568,close
247123,very_close
5957,close
156950,safe
64531,close
81523,close
239279,very_close
244449,very_close
81651,close
158489,safe
293000,very_close
268383,very_close
166672,safe
221619,very_close
146533,safe
165013,safe
110935,safe
260166,very_close
126763,safe
166354,safe
217250,very_close
280003,very_close
29406,close
188218,safe
265172,very_close
43738,close
83469,close
262825,very_close
199604,safe
15501,close
187646,safe
155176,safe
52824,close
